seed,delta,case,measurement,sigma,Rmode,metric,include_initial,truth_noise,truth_qscale,P0_scale,x0_perturb,EKF_armse,EKF_time,EKF_failed,EKF_failure_message,SR-EKF_armse,SR-EKF_time,SR-EKF_failed,SR-EKF_failure_message,IDEKF_armse,IDEKF_time,IDEKF_failed,IDEKF_failure_message,SR_minus_IDEKF,IDEKF_percent_improvement_over_SR,IDEKF_beats_SR,EKF_minus_IDEKF
81,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,3.45297659977,1.56760950002,0,,0.284407303299,1.29640254204,0,,1.23878345394,1.33345450001,0,,-0.954376150639,-335.566681857,0,2.21419314583
82,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.04101006504,1.38412458397,0,,0.320994348344,1.331519417,0,,0.328149987138,1.23147804197,0,,-0.00715563879421,-2.22921021231,0,0.712860077899
83,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.308172266711,1.25267349998,0,,0.287485616596,1.31753812503,0,,0.296410339802,1.26991587499,0,,-0.00892472320601,-3.104406861,0,0.0117619269086
84,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.01065764229,1.39103704097,0,,0.305634196378,1.33032375004,0,,0.77103989377,1.40030766599,0,,-0.465405697392,-152.275400759,0,0.239617748522
85,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.4101678678,1.51222841704,0,,0.291215683577,1.35964479198,0,,2.61170003563,1.565332208,0,,-2.32048435205,-796.82671055,0,-0.201532167825
86,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.27792914633,1.91574824997,0,,0.285881872339,1.34166920802,0,,0.610989119329,1.23358424997,0,,-0.32510724699,-113.720833129,0,1.666940027
87,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.362491118149,1.295411709,0,,0.324987030192,1.36851304199,0,,0.331751064428,1.30966479104,0,,-0.00676403423624,-2.08132436308,0,0.0307400537206
88,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.3009060472,1.36988266598,0,,0.294863882427,1.64426929201,0,,0.303657265703,1.29199679103,0,,-0.00879338327643,-2.9821839162,0,-0.00275121850331
89,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.31808116471,1.35715483298,0,,0.306810571712,1.42701887502,0,,1.94856060017,1.38934400002,0,,-1.64175002845,-535.102170468,0,-1.63047943546
90,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.311958367218,1.30924229202,0,,0.306436505722,1.394501834,0,,0.314715702209,1.27262741601,0,,-0.00827919648718,-2.70176572719,0,-0.00275733499057
