split,delta,candidate,paired_runs,mean_SR_minus_candidate,median_SR_minus_candidate,bootstrap_95_low,bootstrap_95_high,candidate_win_rate,sign_flip_p,wilcoxon_p
validation,0.1,ID_p10_r1_w1_post1,50,-890367.4343331058,-425400.0340080782,-1205430.3444876645,-612752.4525799701,0.08,1.0,0.99999999999888
validation,0.1,ID_p10_r1_w1_post3,50,-563393.3068559049,-413271.9747113759,-920431.5425794853,-333495.8876414992,0.04,1.0,0.9999999999999512
validation,0.1,ID_p10_r2_w0_post1,50,-2.1254865193502255,-0.8918693547574609,-5.477221144587639,-0.149726003051934,0.34,0.9799010049497525,0.9847568227265588
validation,0.1,ID_p10_r2_w0_post3,50,-0.9490735651725453,-1.252483748636692,-1.603163670165744,-0.29863470501285877,0.3,0.9975501224938753,0.9972102552252888
validation,0.1,ID_p10_r2_w10_post1,50,-605519.2215641657,-604876.8134883554,-649965.8543182963,-554417.078352342,0.0,1.0,1.0
validation,0.1,ID_p10_r2_w10_post3,50,-220820.45834400487,-233046.9885315699,-232617.36450551363,-208306.14372426787,0.0,1.0,1.0
validation,0.1,ID_p10_r2_w1_post1,50,-562963.752032829,-2.4663577151196954,-899530.1195736808,-276132.2201417419,0.12,1.0,0.9999999996381401
validation,0.1,ID_p10_r2_w1_post3,50,-326004.95470856526,-368973.1055963613,-425281.24249963416,-236749.7804426974,0.04,1.0,0.9999999999999512
validation,0.1,ID_p1_r0.5_w0_post1,50,1.0367531564575625,0.7572336800533696,0.29749619931419097,1.7697755510090176,0.68,0.0021498925053747312,8.5113924322755e-05
validation,0.1,ID_p1_r0.5_w0_post3,50,-0.27932033887891017,-0.158459895484381,-0.9242045240950503,0.3639529062067276,0.5,0.79946002699865,0.7172110950372357
validation,0.1,ID_p1_r0.5_w10_post1,50,-3781596.294231843,-15507.344795829544,-5034468.86997673,-2546754.104166659,0.16,1.0,0.9999999857130373
validation,0.1,ID_p1_r0.5_w10_post3,50,-1271367.7165456384,-1278335.549464592,-1580933.9406421464,-970774.5371060771,0.02,1.0,0.9999999999999991
validation,0.1,ID_p1_r0.5_w1_post1,50,-931415.6466840276,-0.13133083748406793,-2794245.947128121,0.04225904225157633,0.48,0.9448527573621319,0.7332144431090919
validation,0.1,ID_p1_r0.5_w1_post3,50,-971207.6878147701,-1.2840531651197882,-1876025.398327916,-229601.53611057755,0.32,0.999950002499875,0.9999456619401288
validation,0.1,ID_p1_r1_w0_post3,50,-0.2927705956916574,-0.0910643925210568,-0.9561021666640737,0.35973858023634225,0.5,0.8049597520123993,0.7332144431090919
validation,0.1,ID_p1_r1_w10_post1,50,-3021607.281390425,-11591.90917184219,-4281391.619108608,-1845637.5711338012,0.16,1.0,0.9999999955148002
validation,0.1,ID_p1_r1_w10_post3,50,-1405086.443765523,-1548926.2493303227,-1801518.6134754717,-1035822.4049649494,0.04,1.0,0.9999999999999023
validation,0.1,ID_p1_r1_w1_post1,50,-843056.8692933938,0.29870045362559206,-2383166.9008787903,0.38555005040062235,0.58,0.8883055847207639,0.2699499238386496
validation,0.1,ID_p1_r1_w1_post3,50,-474482.8857675241,-0.8923647467957515,-1044259.0551092641,-64925.76555766169,0.32,0.9996500174991251,0.9993821482208292
validation,0.1,ID_p1_r2_w0_post1,50,-119.8693606591697,0.5230044116889312,-322.3056783573583,1.3936699725959434,0.62,0.7533623318834058,0.003579047916605127
validation,0.1,ID_p1_r2_w0_post3,50,-0.3405715117542266,-0.3270696992125697,-0.9922505508772336,0.30198185611562656,0.48,0.8450577471126444,0.8163286187147758
validation,0.1,ID_p1_r2_w10_post1,50,-2702782.6185330637,-1.8145680896569971,-4089071.513420587,-1464846.497233498,0.24,1.0,0.999998664820259
validation,0.1,ID_p1_r2_w10_post3,50,-1248784.1877339915,-1366711.5246576676,-1611154.4213213376,-918773.4512797932,0.04,1.0,0.9999999999999218
validation,0.1,ID_p1_r2_w1_post1,50,-938100.6218386621,0.3485228838957314,-2712001.5868397835,0.4346514533280952,0.56,0.887655617219139,0.35447622163767534
validation,0.1,ID_p1_r2_w1_post3,50,-767962.0564431571,-0.8598229105665145,-1505899.81080779,-177593.67186055818,0.34,0.99990000499975,0.9991110185112824
validation,0.1,ID_p3_r0.5_w0_post1,50,-0.2417004134817806,-0.34922725879195243,-0.9141671444710474,0.42123952888704447,0.48,0.7586120693965301,0.7487550162868573
